Beta,Alpha,Average_EventInf
0.002,2.0,15.9
0.002,2.2475,8.81
0.002,2.495,6.5
0.002,2.7425,5.84
0.002,2.99,5.44
0.15615,2.0,2014.01
0.15615,2.2475,962.97
0.15615,2.495,268.65
0.15615,2.7425,80.43
0.15615,2.99,45.38
0.3103,2.0,3159.79
0.3103,2.2475,1961.47
0.3103,2.495,807.1
0.3103,2.7425,220.27
0.3103,2.99,85.28
0.46445,2.0,4008.09
0.46445,2.2475,2660.25
0.46445,2.495,1354.32
0.46445,2.7425,405.24
0.46445,2.99,126.4
0.6186,2.0,4713.58
0.6186,2.2475,3193.69
0.6186,2.495,1781.28
0.6186,2.7425,612.03
0.6186,2.99,187.23
