Beta,Alpha,Iter,MaxInf,EventInf,Time_Fin
0.002,2.2475,33,5,7,1.96064411473
0.002,2.2475,34,5,6,2.0518684022299998
0.002,2.2475,35,5,8,4.33103829057
0.002,2.2475,36,6,9,2.43750005303
0.002,2.2475,37,7,10,3.8006692530699997
0.002,2.2475,38,5,8,3.33384845515
0.002,2.2475,39,6,6,5.854446910599999
0.002,2.2475,4,5,6,1.7992263041900003
0.002,2.2475,40,7,8,2.96103291353
0.002,2.2475,41,5,6,1.55519179266
0.002,2.2475,42,5,7,2.39460452988
0.002,2.2475,43,6,7,1.71933384768
0.002,2.2475,44,6,12,5.141297621930001
0.002,2.2475,45,7,13,3.90782029648
0.002,2.2475,46,8,11,3.3703666113999997
0.002,2.2475,47,6,8,3.9653738779800003
0.002,2.2475,48,5,7,1.9135162698099997
0.002,2.2475,49,6,7,2.25440819744
0.002,2.2475,5,8,11,1.28571965884
0.002,2.2475,50,5,6,1.1465557887200002
0.002,2.2475,51,5,7,1.82787737305
0.002,2.2475,52,5,6,0.966915422201
0.002,2.2475,53,7,12,3.71891077818
0.002,2.2475,54,7,10,1.61898430253
0.002,2.2475,55,5,8,6.583366725219999
0.002,2.2475,56,11,25,9.65201594868
0.002,2.2475,57,5,7,3.1553657720999997
0.002,2.2475,58,5,13,6.29436877184
0.002,2.2475,59,5,7,2.10440271061
0.002,2.2475,6,5,8,2.68739664718
0.002,2.2475,60,8,10,1.9684299723900003
0.002,2.2475,61,5,5,1.65289936967
0.002,2.2475,62,6,12,4.52595338188
0.002,2.2475,63,6,7,1.49776490477
0.002,2.2475,64,5,9,8.01651749127
0.002,2.2475,65,5,8,1.6240950332700002
0.002,2.2475,66,5,9,5.774676740019999
0.002,2.2475,67,5,9,4.5212405572600005
0.002,2.2475,68,5,5,1.9265631156
0.002,2.2475,69,7,11,4.22583402541
0.002,2.2475,7,8,12,3.33106604297
0.002,2.2475,70,5,7,3.2285627204900003
0.002,2.2475,71,5,6,1.6392990894400001
0.002,2.2475,72,7,8,1.85846405096
0.002,2.2475,73,6,8,4.2641167517500005
0.002,2.2475,74,5,9,3.6414892519699995
0.002,2.2475,75,5,7,1.9522918048299998
0.002,2.2475,76,9,12,3.20006081885
0.002,2.2475,77,10,12,2.73577264105
0.002,2.2475,78,6,9,2.79727980455
0.002,2.2475,79,6,9,1.74189751747
0.002,2.2475,8,9,13,3.2260460698299998
0.002,2.2475,80,5,5,0.254353308564
0.002,2.2475,81,6,8,2.59535797322
0.002,2.2475,82,6,6,1.12103961952
0.002,2.2475,83,5,6,1.7454559186099998
0.002,2.2475,84,7,17,9.635550531749999
0.002,2.2475,85,8,11,2.76612100302
0.002,2.2475,86,5,9,3.38397682772
0.002,2.2475,87,9,12,2.9712201652499997
0.002,2.2475,88,6,8,2.7451014365799997
0.002,2.2475,89,6,9,3.0348092699299998
0.002,2.2475,9,10,17,5.73649702023
0.002,2.2475,90,6,7,2.52397906723
0.002,2.2475,91,7,10,3.52082288486
0.002,2.2475,92,5,5,1.72896302818
0.002,2.2475,93,5,8,3.67861476997
0.002,2.2475,94,7,13,2.60686173165
0.002,2.2475,95,8,10,6.291751918180001
0.002,2.2475,96,6,8,4.05668229098
0.002,2.2475,97,5,5,1.14726545385
0.002,2.2475,98,5,6,1.88294342836
0.002,2.2475,99,7,9,3.1407373595999997
0.002,2.495,0,6,6,2.4158881104400005
0.002,2.495,1,6,8,3.1294513501099996
0.002,2.495,10,5,5,2.78448017764
0.002,2.495,11,5,5,1.30276646629
0.002,2.495,12,5,7,0.686280752553
0.002,2.495,13,7,8,1.66363239451
0.002,2.495,14,5,5,1.4631838059399997
0.002,2.495,15,5,5,0.712070001912
0.002,2.495,16,5,8,3.69918989965
0.002,2.495,17,5,5,1.8719221675400002
0.002,2.495,18,5,7,2.50986303358
0.002,2.495,19,5,10,7.91919708639
0.002,2.495,2,6,8,4.6725418763699995
0.002,2.495,20,5,6,2.58221868089
0.002,2.495,21,5,5,1.96163053887
0.002,2.495,22,5,9,1.9037978224400003
0.002,2.495,23,5,6,1.42443191014
0.002,2.495,24,5,6,2.30112761702
0.002,2.495,25,5,6,1.83543685867
0.002,2.495,26,5,7,2.10243491513
0.002,2.495,27,6,8,1.8391763502
0.002,2.495,28,5,5,0.364547742858
0.002,2.495,29,5,7,5.14081200331
0.002,2.495,3,5,8,3.39521807315
0.002,2.495,30,5,7,1.7293806432099998
0.002,2.495,31,5,5,1.9923779377000002
0.002,2.495,32,5,8,2.90643136366
0.002,2.495,33,5,5,0.921375842932
0.002,2.495,34,5,6,2.4303390949900003
0.002,2.495,35,6,7,3.11664980635
0.002,2.495,36,5,6,3.02562299528
0.002,2.495,37,6,6,2.74038573463
0.002,2.495,38,6,6,1.31199957737
0.002,2.495,39,5,7,2.01679218104
0.002,2.495,4,5,6,1.9331604619
0.002,2.495,40,5,5,1.2662544222299998
0.002,2.495,41,6,6,1.8237212356
0.002,2.495,42,5,5,2.04100373961
0.002,2.495,43,5,5,1.6140594991100001
0.002,2.495,44,6,9,4.73286320992
0.002,2.495,45,5,6,3.1364632825800003
0.002,2.495,46,5,10,4.7226913886
0.002,2.495,47,5,7,5.663998876109999
0.002,2.495,48,7,7,1.7675744885900002
0.002,2.495,49,5,5,1.8292303142900002
0.002,2.495,5,6,6,2.43092363978
0.002,2.495,50,5,6,3.15725325105
0.002,2.495,51,5,6,2.83075841847
0.002,2.495,52,5,7,2.531894425
0.002,2.495,53,5,6,1.8496670601900003
0.002,2.495,54,5,5,1.03867907065
0.002,2.495,55,5,7,2.53760184364
0.002,2.495,56,6,7,4.26109914301
0.002,2.495,57,6,6,2.26527561198
0.002,2.495,58,5,8,5.7099135714600004
0.002,2.495,59,6,6,2.34957743132
0.002,2.495,6,5,6,1.4327485027700002
0.002,2.495,60,5,5,1.73792644323
0.002,2.495,61,5,7,1.8657380985299998
0.002,2.495,62,5,8,2.0050797612099998
0.002,2.495,63,5,5,3.0078092827200003
0.002,2.495,64,6,6,0.7266047141490001
0.002,2.495,65,5,5,1.23431471134
0.002,2.495,66,5,5,1.25053426793
0.002,2.495,67,5,6,2.9710020554
0.002,2.495,68,5,6,3.1017578189200004
0.002,2.495,69,5,5,0.7751949967749999
0.002,2.495,7,5,7,5.873967693740001
0.002,2.495,70,5,5,2.0593402515
0.002,2.495,71,5,5,1.45144704169
0.002,2.495,72,5,5,0.605610618847
0.002,2.495,73,5,8,3.1719696463
0.002,2.495,74,7,8,2.19321326629
0.002,2.495,75,7,8,2.4468702761400003
0.002,2.495,76,6,9,3.1866737251
0.002,2.495,77,5,5,1.14517328037
0.002,2.495,78,5,7,2.7066232908599996
0.002,2.495,79,5,6,2.34391064608
0.002,2.495,8,5,5,1.60835075989
0.002,2.495,80,5,5,1.5712091262
0.002,2.495,81,5,5,1.16740329002
0.002,2.495,82,5,8,6.0884791059
0.002,2.495,83,5,6,3.0138106002
0.002,2.495,84,5,8,2.72983540185
0.002,2.495,85,5,8,5.03566474633
0.002,2.495,86,5,6,2.9723378462700003
0.002,2.495,87,6,8,3.0409422272400004
0.002,2.495,88,6,9,4.42046351823
0.002,2.495,89,6,10,2.84280749314
0.002,2.495,9,5,5,1.59800186065
0.002,2.495,90,6,6,1.15444976091
0.002,2.495,91,8,8,3.05795123073
0.002,2.495,92,6,6,3.6862808500999997
0.002,2.495,93,5,7,2.4574252132599996
0.002,2.495,94,5,7,1.37552539228
0.002,2.495,95,5,6,3.6185042007199995
0.002,2.495,96,5,6,3.1577410248900004
0.002,2.495,97,5,7,2.72122779412
0.002,2.495,98,5,8,3.5697033947500003
0.002,2.495,99,5,5,0.9990782460100001
0.002,2.7425,0,5,5,1.42830819298
0.002,2.7425,1,5,5,2.0747551648099996
0.002,2.7425,10,5,5,2.09915492711
0.002,2.7425,11,5,5,1.27238853463
0.002,2.7425,12,5,5,3.8905162388699996
0.002,2.7425,13,5,5,1.6803679152200002
0.002,2.7425,14,5,5,2.16299202511
0.002,2.7425,15,5,7,4.16690888614
0.002,2.7425,16,5,5,1.7870966264500001
0.002,2.7425,17,5,5,3.00319499717
0.002,2.7425,18,5,6,1.4126028453200001
0.002,2.7425,19,5,5,4.677336266869999
0.002,2.7425,2,5,6,1.9646192258500002
0.002,2.7425,20,5,5,1.7745471515
0.002,2.7425,21,7,9,4.4142773133999995
0.002,2.7425,22,5,6,2.32070148807
0.002,2.7425,23,5,6,2.58945564276
0.002,2.7425,24,5,5,1.20810864629
0.002,2.7425,25,5,6,1.6720369939300002
0.002,2.7425,26,6,10,5.58711382714
0.002,2.7425,27,5,6,2.06658196285
0.002,2.7425,28,5,5,1.6693586891
0.002,2.7425,29,5,5,3.28618821982
0.002,2.7425,3,5,5,1.03826932491
0.002,2.7425,30,5,5,1.69295954887
0.002,2.7425,31,5,6,1.50726877006
0.002,2.7425,32,6,8,2.7353091721499996
0.002,2.7425,33,5,7,2.12335496882
