Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,15.9,47.67000000000003,0.43423562623421064,14.55-17.25
0.002,2.2475,8.81,9.593900000000014,0.3515779951504756,8.2-9.42
0.002,2.495,6.5,1.77,0.2046789953176934,6.24-6.76
0.002,2.7425,5.84,1.4944000000000008,0.20932475054707028,5.6-6.08
0.002,2.99,5.44,0.4464000000000013,0.12281833153301536,5.31-5.57
0.15615,2.0,2014.01,63698.929899999974,0.12531540028514765,1964.54-2063.48
0.15615,2.2475,962.97,36347.08910000001,0.19798033751920005,925.6-1000.34
0.15615,2.495,268.65,17136.507500000003,0.48727520490094967,242.99-294.31
0.15615,2.7425,80.43,2609.7250999999987,0.6351544023327914,70.42-90.44
0.15615,2.99,45.38,616.2356000000001,0.5470271735456245,40.51-50.25
0.3103,2.0,3159.79,85450.98590000006,0.09251247898961326,3102.5-3217.08
0.3103,2.2475,1961.47,44844.2491,0.1079621955781114,1919.96-2002.98
0.3103,2.495,807.1,36094.56999999999,0.23539302439466697,769.86-844.34
0.3103,2.7425,220.27,12148.117100000001,0.5003790669926413,198.67-241.87
0.3103,2.99,85.28,1316.3816,0.4254452800828471,78.17-92.39
0.46445,2.0,4008.09,150419.5019,0.09676417723174816,3932.07-4084.11
0.46445,2.2475,2660.25,56657.8275,0.08947619494300789,2613.6-2706.9
0.46445,2.495,1354.32,46620.217599999996,0.15942846187231774,1312.0-1396.64
0.46445,2.7425,405.24,33585.722400000006,0.4522359054220617,369.32-441.16
0.46445,2.99,126.4,3005.199999999999,0.4337001937232345,115.66-137.14
0.6186,2.0,4713.58,172441.46359999996,0.08809879489094788,4632.19-4794.97
0.6186,2.2475,3193.69,57429.7139,0.07503701821471785,3146.72-3240.66
0.6186,2.495,1781.28,58540.4216,0.1358300095398741,1733.86-1828.7
0.6186,2.7425,612.03,42203.729099999975,0.3356624056477963,571.76-652.3
0.6186,2.99,187.23,6669.677100000001,0.436191267831081,171.22-203.24
