Beta,Alpha,Average_EventInf
0.002,2.0,5.01
0.002,2.2475,5.02
0.002,2.495,5.0
0.002,2.7425,5.01
0.002,2.99,5.01
0.15615,2.0,903.07
0.15615,2.2475,318.93
0.15615,2.495,28.92
0.15615,2.7425,8.42
0.15615,2.99,6.62
0.3103,2.0,2027.3
0.3103,2.2475,1056.89
0.3103,2.495,251.54
0.3103,2.7425,19.74
0.3103,2.99,12.64
0.46445,2.0,3304.93
0.46445,2.2475,1851.9
0.46445,2.495,689.39
0.46445,2.7425,108.57
0.46445,2.99,22.52
0.6186,2.0,4082.95
0.6186,2.2475,2557.25
0.6186,2.495,1181.04
0.6186,2.7425,215.53
0.6186,2.99,42.42
