Beta,Alpha,Average_MaxInf
0.002,2.0,1.0
0.002,2.2475,1.04
0.002,2.495,1.0
0.002,2.7425,1.0
0.002,2.99,1.0
0.15615,2.0,45.82
0.15615,2.2475,26.58
0.15615,2.495,3.49
0.15615,2.7425,1.4
0.15615,2.99,1.22
0.3103,2.0,170.64
0.3103,2.2475,83.66
0.3103,2.495,30.4
0.3103,2.7425,4.85
0.3103,2.99,1.49
0.46445,2.0,604.13
0.46445,2.2475,191.89
0.46445,2.495,56.08
0.46445,2.7425,4.61
0.46445,2.99,2.93
0.6186,2.0,738.57
0.6186,2.2475,321.65
0.6186,2.495,92.79
0.6186,2.7425,11.91
0.6186,2.99,5.32
