Beta,Alpha,Average_MaxInf
0.002,2.0,10.01
0.002,2.2475,10.01
0.002,2.495,10.0
0.002,2.7425,10.01
0.002,2.99,10.03
0.15615,2.0,675.28
0.15615,2.2475,164.53
0.15615,2.495,25.04
0.15615,2.7425,11.16
0.15615,2.99,10.65
0.3103,2.0,1301.38
0.3103,2.2475,599.15
0.3103,2.495,147.32
0.3103,2.7425,26.36
0.3103,2.99,13.76
0.46445,2.0,1815.51
0.46445,2.2475,951.09
0.46445,2.495,319.78
0.46445,2.7425,53.07
0.46445,2.99,22.31
0.6186,2.0,2196.85
0.6186,2.2475,1287.03
0.6186,2.495,531.73
0.6186,2.7425,120.03
0.6186,2.99,33.03
