Beta,Alpha,Average_MaxInf
0.002,2.0,1.01
0.002,2.2475,1.01
0.002,2.495,1.01
0.002,2.7425,1.0
0.002,2.99,1.0
0.15615,2.0,230.85
0.15615,2.2475,29.41
0.15615,2.495,3.15
0.15615,2.7425,1.87
0.15615,2.99,1.19
0.3103,2.0,775.22
0.3103,2.2475,190.22
0.3103,2.495,14.52
0.3103,2.7425,2.57
0.3103,2.99,1.47
0.46445,2.0,1338.71
0.46445,2.2475,412.04
0.46445,2.495,64.13
0.46445,2.7425,11.6
0.46445,2.99,2.41
0.6186,2.0,1638.09
0.6186,2.2475,451.99
0.6186,2.495,146.31
0.6186,2.7425,18.65
0.6186,2.99,2.94
