Beta,Alpha,Average_MaxInf
0.002,2.0,10.06
0.002,2.2475,10.02
0.002,2.495,10.0
0.002,2.7425,10.02
0.002,2.99,10.0
0.15615,2.0,778.24
0.15615,2.2475,232.0
0.15615,2.495,27.4
0.15615,2.7425,11.93
0.15615,2.99,10.79
0.3103,2.0,1334.74
0.3103,2.2475,635.16
0.3103,2.495,140.2
0.3103,2.7425,23.02
0.3103,2.99,12.48
0.46445,2.0,1792.49
0.46445,2.2475,1041.53
0.46445,2.495,345.63
0.46445,2.7425,62.75
0.46445,2.99,18.26
0.6186,2.0,2209.16
0.6186,2.2475,1323.1
0.6186,2.495,551.46
0.6186,2.7425,115.54
0.6186,2.99,26.8
