Beta,Alpha,Average_FinalTime
0.002,2.0,0.9009066410826673
0.002,2.2475,0.9279978242470076
0.002,2.495,0.8111070789593672
0.002,2.7425,1.0082032487027823
0.002,2.99,0.9346357041455952
0.15615,2.0,1.5697738413311482
0.15615,2.2475,2.080126790684136
0.15615,2.495,1.3062478261584847
0.15615,2.7425,1.301280340433286
0.15615,2.99,1.1273472298594587
0.3103,2.0,2.062239812624241
0.3103,2.2475,2.02939438448759
0.3103,2.495,2.2813236449477143
0.3103,2.7425,1.825777098105071
0.3103,2.99,1.171552888441891
0.46445,2.0,4.087989105935021
0.46445,2.2475,2.9378497452604138
0.46445,2.495,2.902342489959596
0.46445,2.7425,1.5750911672831258
0.46445,2.99,1.7957865692829704
0.6186,2.0,3.990259210635632
0.6186,2.2475,3.331604980833451
0.6186,2.495,2.5817233760248772
0.6186,2.7425,2.1580262286972105
0.6186,2.99,2.2018266538950595
