Beta,Alpha,Average_FinalTime
0.002,2.0,2.91613099683031
0.002,2.2475,3.0226130026961107
0.002,2.495,2.8559291097502104
0.002,2.7425,2.7468963668964705
0.002,2.99,3.194079767385211
0.15615,2.0,10.209158007766302
0.15615,2.2475,8.20499686646578
0.15615,2.495,5.552300016405189
0.15615,2.7425,3.7729795865155094
0.15615,2.99,3.667336474574201
0.3103,2.0,10.457141956746002
0.3103,2.2475,10.488584896310599
0.3103,2.495,10.5410394445349
0.3103,2.7425,6.5237708580395
0.3103,2.99,4.9792135058738
0.46445,2.0,10.452745926381102
0.46445,2.2475,10.589684172517702
0.46445,2.495,11.3656120677753
0.46445,2.7425,7.749942750996798
0.46445,2.99,6.326051762513202
0.6186,2.0,10.470419939335896
0.6186,2.2475,10.5557094923739
0.6186,2.495,11.084077955758396
0.6186,2.7425,10.3603848311682
0.6186,2.99,6.913191086280397
