Beta,Alpha,Average_EventInf
0.002,2.0,5.1
0.002,2.2475,5.07
0.002,2.495,5.02
0.002,2.7425,5.01
0.002,2.99,5.03
0.15615,2.0,1429.57
0.15615,2.2475,331.52
0.15615,2.495,41.96
0.15615,2.7425,11.83
0.15615,2.99,8.0
0.3103,2.0,2709.22
0.3103,2.2475,1223.06
0.3103,2.495,326.54
0.3103,2.7425,39.24
0.3103,2.99,13.74
0.46445,2.0,3825.88
0.46445,2.2475,2134.98
0.46445,2.495,785.15
0.46445,2.7425,115.89
0.46445,2.99,25.92
0.6186,2.0,4596.21
0.6186,2.2475,2703.04
0.6186,2.495,1303.96
0.6186,2.7425,285.67
0.6186,2.99,46.21
