Beta,Alpha,Average_FinalTime
0.002,2.0,1.521961312232545
0.002,2.2475,1.0514755164158014
0.002,2.495,0.9803242214386674
0.002,2.7425,0.8843115498275708
0.002,2.99,0.9078877248289683
0.15615,2.0,2.6188199312374616
0.15615,2.2475,2.7577331424441756
0.15615,2.495,1.5217690685733734
0.15615,2.7425,1.662478826815871
0.15615,2.99,1.543334202367763
0.3103,2.0,3.404742809693693
0.3103,2.2475,3.030911508326101
0.3103,2.495,2.31790027272011
0.3103,2.7425,2.401826161876999
0.3103,2.99,1.4053568109425592
0.46445,2.0,4.442267803692471
0.46445,2.2475,2.313160640953675
0.46445,2.495,2.273031950260455
0.46445,2.7425,2.187718397556157
0.46445,2.99,1.4703432263292515
0.6186,2.0,4.505531843549092
0.6186,2.2475,4.618118811944908
0.6186,2.495,3.572285378793794
0.6186,2.7425,2.0142902063641825
0.6186,2.99,1.8986967943692181
