Beta,Alpha,Average,Variance,CV,Pred. Interval
0.002,2.0,1.01,0.009899999999999999,0.0985136076343188,0.99-1.03
0.002,2.2475,1.01,0.009899999999999994,0.09851360763431877,0.99-1.03
0.002,2.495,1.01,0.009899999999999994,0.09851360763431877,0.99-1.03
0.002,2.7425,1.0,0.0,0.0,1.0-1.0
0.002,2.99,1.0,0.0,0.0,1.0-1.0
0.15615,2.0,613.47,901429.7691000003,1.5476495240002548,427.38-799.56
0.15615,2.2475,90.16,93382.51439999988,3.389369200800822,30.27-150.05
0.15615,2.495,8.97,2236.2491000000023,5.271905858266163,-0.3-18.24
0.15615,2.7425,3.38,333.69560000000075,5.404537565286931,-0.2-6.96
0.15615,2.99,1.24,0.8224000000000001,0.7313409063712668,1.06-1.42
0.3103,2.0,1858.72,2555967.7615999994,0.8601292442784155,1545.37-2172.07
0.3103,2.2475,543.65,736046.7674999998,1.5780956129352446,375.5-711.8
0.3103,2.495,46.96,41090.158399999964,4.316590190747906,7.23-86.69
0.3103,2.7425,4.08,167.7936000000003,3.1748815923937848,1.54-6.62
0.3103,2.99,1.68,3.2976000000000014,1.0809104250301114,1.32-2.04
0.46445,2.0,3054.37,3380924.1531,0.6019994140908156,2693.98-3414.76
0.46445,2.2475,1087.43,1722821.8450999982,1.2070322524959434,830.17-1344.69
0.46445,2.495,212.4,239312.52000000025,2.3031816809096637,116.52-308.28
0.46445,2.7425,37.81,15804.133900000032,3.3249006505053544,13.17-62.45
0.46445,2.99,4.62,492.9955999999983,4.8059532960901725,0.27-8.97
0.6186,2.0,3498.09,4395370.241900001,0.5993310150970087,3087.17-3909.01
0.6186,2.2475,1098.89,2360445.217900001,1.3981145053863888,797.76-1400.02
0.6186,2.495,446.25,576723.7075,1.7017888469495965,297.4-595.1
0.6186,2.7425,74.58,44840.223600000005,2.8393014600443482,33.08-116.08
0.6186,2.99,5.38,514.3755999999997,4.2155855181576145,0.93-9.83
