Beta,Alpha,Average_EventInf
0.002,2.0,1.01
0.002,2.2475,1.01
0.002,2.495,1.01
0.002,2.7425,1.0
0.002,2.99,1.0
0.15615,2.0,613.47
0.15615,2.2475,90.16
0.15615,2.495,8.97
0.15615,2.7425,3.38
0.15615,2.99,1.24
0.3103,2.0,1858.72
0.3103,2.2475,543.65
0.3103,2.495,46.96
0.3103,2.7425,4.08
0.3103,2.99,1.68
0.46445,2.0,3054.37
0.46445,2.2475,1087.43
0.46445,2.495,212.4
0.46445,2.7425,37.81
0.46445,2.99,4.62
0.6186,2.0,3498.09
0.6186,2.2475,1098.89
0.6186,2.495,446.25
0.6186,2.7425,74.58
0.6186,2.99,5.38
