Beta,Alpha,Average_EventInf
0.002,2.0,25.23
0.002,2.2475,14.72
0.002,2.495,12.33
0.002,2.7425,11.05
0.002,2.99,10.54
0.15615,2.0,2011.41
0.15615,2.2475,983.09
0.15615,2.495,281.87
0.15615,2.7425,117.55
0.15615,2.99,59.12
0.3103,2.0,3283.78
0.3103,2.2475,1958.68
0.3103,2.495,809.85
0.3103,2.7425,254.24
0.3103,2.99,116.06
0.46445,2.0,4133.52
0.46445,2.2475,2670.52
0.46445,2.495,1300.87
0.46445,2.7425,440.33
0.46445,2.99,169.82
0.6186,2.0,4765.79
0.6186,2.2475,3240.73
0.6186,2.495,1747.64
0.6186,2.7425,668.0
0.6186,2.99,220.46
