Beta,Alpha,Average_MaxInf
0.002,2.0,13.71
0.002,2.2475,10.82
0.002,2.495,10.33
0.002,2.7425,10.1
0.002,2.99,10.06
0.15615,2.0,757.57
0.15615,2.2475,305.82
0.15615,2.495,91.57
0.15615,2.7425,46.19
0.15615,2.99,26.35
0.3103,2.0,1364.59
0.3103,2.2475,684.51
0.3103,2.495,232.87
0.3103,2.7425,88.23
0.3103,2.99,49.91
0.46445,2.0,1845.09
0.46445,2.2475,1008.15
0.46445,2.495,403.62
0.46445,2.7425,141.69
0.46445,2.99,68.97
0.6186,2.0,2226.01
0.6186,2.2475,1319.79
0.6186,2.495,579.72
0.6186,2.7425,208.71
0.6186,2.99,83.41
