Beta,Alpha,Average_FinalTime
0.002,2.0,2.1600450249775096
0.002,2.2475,2.39967937732623
0.002,2.495,2.1992996001570706
0.002,2.7425,2.3423716732484
0.002,2.99,2.1919216772428
0.15615,2.0,9.618408199807057
0.15615,2.2475,7.0803995255823615
0.15615,2.495,4.3170337467146505
0.15615,2.7425,3.2246655565323907
0.15615,2.99,2.8455879111419797
0.3103,2.0,10.575742638100099
0.3103,2.2475,9.5550864196542
0.3103,2.495,7.396201291413871
0.3103,2.7425,4.681869280935951
0.3103,2.99,3.4076792189549407
0.46445,2.0,10.348953022124528
0.46445,2.2475,9.728499183787214
0.46445,2.495,9.5488936147343
0.46445,2.7425,6.509208059076969
0.46445,2.99,4.357185505921849
0.6186,2.0,10.137172813172999
0.6186,2.2475,10.389069375003595
0.6186,2.495,9.66665601298628
0.6186,2.7425,8.104328667219399
0.6186,2.99,4.894134614995359
