Beta,Alpha,Average_MaxInf
0.002,2.0,1.0
0.002,2.2475,1.03
0.002,2.495,1.0
0.002,2.7425,1.01
0.002,2.99,1.01
0.15615,2.0,139.0
0.15615,2.2475,39.49
0.15615,2.495,3.22
0.15615,2.7425,2.4
0.15615,2.99,1.46
0.3103,2.0,336.83
0.3103,2.2475,126.28
0.3103,2.495,14.49
0.3103,2.7425,5.22
0.3103,2.99,2.14
0.46445,2.0,748.24
0.46445,2.2475,157.85
0.46445,2.495,35.78
0.46445,2.7425,9.82
0.46445,2.99,2.75
0.6186,2.0,887.39
0.6186,2.2475,482.21
0.6186,2.495,138.41
0.6186,2.7425,14.0
0.6186,2.99,5.6
