Beta,Alpha,Iter,MaxInf,EventInf,Time_Fin
0.002,2.11,33,1,1,0.703483572371
0.002,2.11,34,1,1,0.792999217325
0.002,2.11,35,1,1,0.173694485559
0.002,2.11,36,1,1,0.5991287514220001
0.002,2.11,37,1,1,0.330848542441
0.002,2.11,38,1,1,0.8011986085130001
0.002,2.11,39,1,1,0.729051184093
0.002,2.11,4,1,1,0.394850674753
0.002,2.11,40,1,1,0.0833719083153
0.002,2.11,41,1,1,5.06433962345
0.002,2.11,42,1,1,0.0378584376874
0.002,2.11,43,1,1,1.53171337746
0.002,2.11,44,1,1,0.528964197215
0.002,2.11,45,1,1,0.317777628408
0.002,2.11,46,1,1,1.69815999848
0.002,2.11,47,1,1,1.27561203545
0.002,2.11,48,1,1,1.57203518657
0.002,2.11,49,1,1,0.12172122499299999
0.002,2.11,5,1,1,0.655339616156
0.002,2.11,50,1,1,1.7737282645299999
0.002,2.11,51,1,1,0.374845087522
0.002,2.11,52,1,1,0.763687600787
0.002,2.11,53,1,1,3.3331380998799998
0.002,2.11,54,1,1,0.95092416665
0.002,2.11,55,1,1,0.402108264922
0.002,2.11,56,1,1,0.058228701181899996
0.002,2.11,57,1,1,0.13236896340999998
0.002,2.11,58,1,1,1.18093785911
0.002,2.11,59,1,1,0.926414674818
0.002,2.11,6,1,1,0.481255166576
0.002,2.11,60,1,1,1.62713244042
0.002,2.11,61,1,1,2.4448629835499998
0.002,2.11,62,1,1,0.09618846652010002
0.002,2.11,63,1,1,0.0179847469647
0.002,2.11,64,1,1,0.454786607049
0.002,2.11,65,1,1,0.302099576004
0.002,2.11,66,1,1,0.470852807456
0.002,2.11,67,1,1,3.2139543793299996
0.002,2.11,68,1,1,1.48250625931
0.002,2.11,69,1,1,1.02005739975
0.002,2.11,7,1,1,0.386159947653
0.002,2.11,70,1,1,0.123776163995
0.002,2.11,71,1,1,0.9440910688959999
0.002,2.11,72,1,1,0.193828994208
0.002,2.11,73,1,1,3.6721021141400003
0.002,2.11,74,1,1,0.0732360744271
0.002,2.11,75,1,1,1.36266142277
0.002,2.11,76,1,1,0.801990470201
0.002,2.11,77,1,1,0.808687360153
0.002,2.11,78,1,1,0.113439507619
0.002,2.11,79,1,1,1.69318203557
0.002,2.11,8,1,1,1.8563440931
0.002,2.11,80,1,1,1.6888605001199999
0.002,2.11,81,1,1,0.893379489437
0.002,2.11,82,1,1,0.8712540906299999
0.002,2.11,83,1,1,0.46693429021300004
0.002,2.11,84,1,1,0.0676076518728
0.002,2.11,85,1,1,0.588796233494
0.002,2.11,86,1,1,1.4871595169799998
0.002,2.11,87,1,1,2.50465153087
0.002,2.11,88,1,1,1.21969677476
0.002,2.11,89,1,1,3.12049493112
0.002,2.11,9,1,1,0.6721910252330001
0.002,2.11,90,1,1,0.00703247523607
0.002,2.11,91,1,1,2.1280847931799998
0.002,2.11,92,1,1,0.507121292446
0.002,2.11,93,1,1,0.137830261635
0.002,2.11,94,1,1,0.632874126042
0.002,2.11,95,1,1,1.41950282341
0.002,2.11,96,1,1,1.95082869344
0.002,2.11,97,1,1,1.14190490868
0.002,2.11,98,1,1,0.416537345533
0.002,2.11,99,1,1,0.0776373015028
0.002,2.22,0,1,1,1.89701582948
0.002,2.22,1,1,1,0.34417843661700004
0.002,2.22,10,1,1,0.145131226828
0.002,2.22,11,1,1,0.390385548227
0.002,2.22,12,1,1,1.61677710407
0.002,2.22,13,1,1,1.5092210189
0.002,2.22,14,1,1,2.07496098254
0.002,2.22,15,1,1,2.96211413504
0.002,2.22,16,1,1,0.410619226092
0.002,2.22,17,1,1,0.287227628224
0.002,2.22,18,1,1,0.193216030935
0.002,2.22,19,1,1,1.1789573908600002
0.002,2.22,2,1,1,0.615817589747
0.002,2.22,20,1,1,1.08191841927
0.002,2.22,21,1,1,2.62932449375
0.002,2.22,22,1,1,2.3860241327700003
0.002,2.22,23,1,1,1.69873002921
0.002,2.22,24,1,1,0.9320484983130001
0.002,2.22,25,1,1,0.127524286081
0.002,2.22,26,1,1,2.46772939167
0.002,2.22,27,1,1,0.164984754998
0.002,2.22,28,1,1,0.0666657588231
0.002,2.22,29,1,1,0.318590891242
0.002,2.22,3,1,1,0.890562408636
0.002,2.22,30,1,1,0.453679950809
0.002,2.22,31,1,1,1.04057801813
0.002,2.22,32,1,1,0.715026414753
0.002,2.22,33,1,1,0.490887474099
0.002,2.22,34,1,1,2.07063037979
0.002,2.22,35,1,1,1.62019155845
0.002,2.22,36,1,1,0.54511391517
0.002,2.22,37,1,1,0.138286732421
0.002,2.22,38,1,1,0.175149826708
0.002,2.22,39,1,1,0.43300166950900004
0.002,2.22,4,1,1,0.315753764192
0.002,2.22,40,1,1,0.295462074661
0.002,2.22,41,1,1,0.568669702633
0.002,2.22,42,1,1,0.260693435997
0.002,2.22,43,1,1,0.534501053455
0.002,2.22,44,1,1,0.123191791553
0.002,2.22,45,1,1,0.26646778138
0.002,2.22,46,1,1,1.66892078878
0.002,2.22,47,1,1,0.20268755196899998
0.002,2.22,48,1,1,1.52785192516
0.002,2.22,49,1,1,2.6556014632799996
0.002,2.22,5,1,1,0.8955023915620001
0.002,2.22,50,1,1,1.7303037148700002
0.002,2.22,51,1,1,2.9786187437000002
0.002,2.22,52,1,1,1.45656649086
0.002,2.22,53,1,1,0.31393044506900003
0.002,2.22,54,1,1,0.169203370013
0.002,2.22,55,1,1,0.639780170758
0.002,2.22,56,1,1,0.981805729982
0.002,2.22,57,1,1,1.16636996258
0.002,2.22,58,1,1,1.1965201308600002
0.002,2.22,59,1,1,0.276485083394
0.002,2.22,6,1,1,1.15049646944
0.002,2.22,60,1,1,3.0401585261400004
0.002,2.22,61,1,1,0.0961273328568
0.002,2.22,62,1,1,1.14621868453
0.002,2.22,63,1,1,0.723443306211
0.002,2.22,64,1,1,2.0549726939200004
0.002,2.22,65,1,1,4.18193269898
0.002,2.22,66,1,1,0.456929387038
0.002,2.22,67,1,1,0.75775518485
0.002,2.22,68,1,1,0.7593347793109999
0.002,2.22,69,1,1,0.20154960500100003
0.002,2.22,7,1,1,0.0465127163183
0.002,2.22,70,1,1,1.62898143576
0.002,2.22,71,1,1,1.03406986267
0.002,2.22,72,1,1,0.6050066199040001
0.002,2.22,73,1,1,2.39769173906
0.002,2.22,74,1,1,0.535023341853
0.002,2.22,75,1,1,1.60711830321
0.002,2.22,76,1,1,1.0309009179700002
0.002,2.22,77,1,1,1.08891007861
0.002,2.22,78,1,1,0.372642097171
0.002,2.22,79,1,1,1.2819831160200001
0.002,2.22,8,1,1,0.503109169688
0.002,2.22,80,1,1,0.360288421152
0.002,2.22,81,1,1,1.1184508563200002
0.002,2.22,82,1,1,2.02738491812
0.002,2.22,83,1,1,2.9163573059900005
0.002,2.22,84,1,1,2.44090300597
0.002,2.22,85,1,1,0.134093065983
0.002,2.22,86,1,1,1.62730150368
0.002,2.22,87,1,1,0.819950822038
0.002,2.22,88,1,1,0.6675907016170001
0.002,2.22,89,1,1,0.7514523793729999
0.002,2.22,9,1,1,0.204857286102
0.002,2.22,90,1,1,0.29775399888099996
0.002,2.22,91,1,1,0.7041303776919999
0.002,2.22,92,1,1,0.94495485485
0.002,2.22,93,1,1,1.27470443216
0.002,2.22,94,1,1,0.624051879725
0.002,2.22,95,1,1,0.352163765103
0.002,2.22,96,1,1,0.7538186307770001
0.002,2.22,97,1,1,5.084720149130001
0.002,2.22,98,1,1,3.151106721
0.002,2.22,99,1,1,0.771074725701
0.002,2.33,0,1,1,1.66229124674
0.002,2.33,1,1,1,0.21690992123599998
0.002,2.33,10,1,1,0.00436967415824
0.002,2.33,11,1,1,0.484165378178
0.002,2.33,12,1,1,3.1528298118799998
0.002,2.33,13,1,1,1.38962681996
0.002,2.33,14,1,1,0.00734449434382
0.002,2.33,15,1,1,2.71914628964
0.002,2.33,16,1,1,0.856038784701
0.002,2.33,17,1,1,0.08500129821210001
0.002,2.33,18,1,1,1.2197831597
0.002,2.33,19,1,1,3.11765157985
0.002,2.33,2,1,1,0.18614237412
0.002,2.33,20,1,1,2.40147245559
0.002,2.33,21,1,1,0.739185526956
0.002,2.33,22,1,1,0.6164091955259999
0.002,2.33,23,1,1,1.43780030199
0.002,2.33,24,1,1,0.227473527049
0.002,2.33,25,1,1,0.496498476087
0.002,2.33,26,1,1,0.38417499559600005
0.002,2.33,27,1,1,1.0407464567
0.002,2.33,28,1,1,1.02905661437
0.002,2.33,29,1,1,1.9508182563799998
0.002,2.33,3,1,1,0.240925512413
0.002,2.33,30,1,1,1.6268902883899998
0.002,2.33,31,1,1,0.508907862062
0.002,2.33,32,1,1,6.46439736888
0.002,2.33,33,1,1,0.858095860258
0.002,2.33,34,1,1,1.38985861928
0.002,2.33,35,1,1,1.02462351246
0.002,2.33,36,1,1,0.255659777826
0.002,2.33,37,1,1,0.10794236342800001
0.002,2.33,38,1,1,1.5461480692299998
0.002,2.33,39,1,1,3.03336883595
0.002,2.33,4,1,1,0.210759369614
0.002,2.33,40,1,1,6.28706486998
0.002,2.33,41,1,1,0.175925502339
0.002,2.33,42,1,1,1.26562097846
0.002,2.33,43,1,1,2.0705742592900003
0.002,2.33,44,1,1,1.59690059352
0.002,2.33,45,1,1,0.9982712006739999
0.002,2.33,46,1,1,0.258545738783
0.002,2.33,47,1,1,0.344727477525
0.002,2.33,48,1,1,1.0180255479
0.002,2.33,49,1,1,1.11138353104
0.002,2.33,5,1,1,1.3420644578899998
0.002,2.33,50,1,1,0.397492643653
0.002,2.33,51,1,1,1.2520072721
0.002,2.33,52,1,1,0.41288493589100006
0.002,2.33,53,1,1,0.9912022004709999
