Time,I, R, S
0.337246303698,169,20,9811
0.337459685943,170,20,9810
0.338397411452,171,20,9809
0.339628839763,172,20,9808
0.340343048237,173,20,9807
0.340564971965,174,20,9806
0.340922333021,175,20,9805
0.341013165564,176,20,9804
0.342756606412,177,20,9803
0.343306646787,178,20,9802
0.345019172762,179,20,9801
0.345307497059,180,20,9800
0.345703725349,181,20,9799
0.346684219066,182,20,9798
0.346925471633,183,20,9797
0.347161306342,182,21,9797
0.347216136217,183,21,9796
0.347601654712,184,21,9795
0.347897352874,183,22,9795
0.348674347738,184,22,9794
0.348748131966,183,23,9794
0.350071808288,182,24,9794
0.350086600391,183,24,9793
0.350575648634,182,25,9793
0.351161079569,183,25,9792
0.351536083487,184,25,9791
0.352437539129,185,25,9790
0.352438908632,186,25,9789
0.353735863874,187,25,9788
0.353824838114,186,26,9788
0.354323823444,187,26,9787
0.35481341894,188,26,9786
0.356189081219,189,26,9785
0.357129093098,190,26,9784
0.35792184692,191,26,9783
0.358195443836,192,26,9782
0.359724429782,193,26,9781
0.361372958146,194,26,9780
0.361788048756,195,26,9779
0.362781500555,196,26,9778
0.362878681922,197,26,9777
0.363221598423,198,26,9776
0.363556917225,199,26,9775
0.363751846802,200,26,9774
0.364057406913,201,26,9773
0.36532539327,202,26,9772
0.365341133889,203,26,9771
0.365924221382,204,26,9770
0.36593900158,203,27,9770
0.36627005763,204,27,9769
0.366370483364,205,27,9768
0.367403649583,206,27,9767
0.368098578089,207,27,9766
0.368491933215,208,27,9765
0.369767860014,209,27,9764
0.370607469772,210,27,9763
0.371652914153,211,27,9762
0.372811226828,212,27,9761
0.372986951919,213,27,9760
0.373008149124,214,27,9759
0.37327840532,215,27,9758
0.373426600505,216,27,9757
0.374211273148,217,27,9756
0.375535896254,218,27,9755
0.375657519906,219,27,9754
0.37664093576,220,27,9753
0.378286101004,221,27,9752
0.378421249756,222,27,9751
0.378651740071,223,27,9750
0.378733598332,224,27,9749
0.379386473211,225,27,9748
0.380054255542,224,28,9748
0.383560713383,225,28,9747
0.383661998968,226,28,9746
0.383839571093,227,28,9745
0.384013471185,228,28,9744
0.384233323549,229,28,9743
0.384569545613,230,28,9742
0.384683394529,231,28,9741
0.3848394402,232,28,9740
0.38509383344,233,28,9739
0.385407279252,234,28,9738
0.385542323268,235,28,9737
0.386897300166,236,28,9736
0.387208849308,237,28,9735
0.387446444296,238,28,9734
0.387614701133,237,29,9734
0.388083709653,238,29,9733
0.389054626835,237,30,9733
0.389530363957,238,30,9732
0.390301182283,239,30,9731
0.39047036134,240,30,9730
0.391681410526,241,30,9729
0.391782149218,240,31,9729
0.392333364524,241,31,9728
0.392390836108,242,31,9727
0.393792228199,241,32,9727
0.394350339782,242,32,9726
0.395450567366,243,32,9725
0.395567842548,244,32,9724
0.395586952905,245,32,9723
0.39725192704,246,32,9722
0.397292087672,247,32,9721
0.39794923791,248,32,9720
0.398013111528,247,33,9720
0.39825410558,248,33,9719
0.398419732567,247,34,9719
0.398580961583,248,34,9718
0.398603596677,247,35,9718
0.399450524536,248,35,9717
0.399665502477,249,35,9716
0.399972392027,250,35,9715
0.400216807164,251,35,9714
0.400271755291,250,36,9714
0.4005412751,251,36,9713
0.400904424037,252,36,9712
0.401006658944,253,36,9711
0.401746883972,254,36,9710
0.402381777878,255,36,9709
0.402552179857,256,36,9708
0.403375402367,257,36,9707
0.403690880622,258,36,9706
0.406411987694,259,36,9705
0.407119653219,260,36,9704
0.408314492448,259,37,9704
0.408369524434,260,37,9703
0.408937199491,261,37,9702
0.410392786566,260,38,9702
0.411112461082,261,38,9701
0.411435223946,262,38,9700
0.411637650908,261,39,9700
0.411728609332,262,39,9699
0.411810096955,263,39,9698
0.412184127696,264,39,9697
0.412952449067,265,39,9696
0.413185103155,266,39,9695
0.414216342701,267,39,9694
0.414316477662,268,39,9693
0.414702003052,269,39,9692
