Time,I, R, S
0.,18,1,18
0.00217784442935,17,2,18
0.0765022835529,16,3,18
0.0917097771637,15,4,18
0.0965896558852,14,5,18
0.21363105041,13,6,18
0.621385605742,12,7,18
0.698307142506,11,8,18
0.790509661274,10,9,18
0.855873109962,9,10,18
0.908397499873,8,11,18
0.966584387385,7,12,18
1.14870459359,6,13,18
1.30741236713,5,14,18
1.33300973079,4,15,18
1.64318758045,3,16,18
1.74880088576,2,17,18
2.08056179857,1,18,18
